Sex,Job,Housing,Credit amount,Duration,Purpose,Monthly_Payment,Loan Category,Age Group,Account Size,High Monthly_Payment,Prompt Length,Prediction Mistral,Prediction Mistral Small
male,skilled,own,4020,24,furniture/equipment,168.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,5866,18,car,326.0,development,31_40,moderate,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,rent,1264,12,business,105.0,development,51_60,no data,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,highly skilled,own,1474,12,furniture/equipment,123.0,maintenance,31_40,rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,4746,45,radio/TV,105.0,recreational,21_30,moderate,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,free,6110,48,education,127.0,development,31_40,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2100,18,radio/TV,117.0,recreational,31_40,rich,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1225,10,domestic appliances,122.0,maintenance,31_40,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,458,9,radio/TV,51.0,recreational,21_30,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,2333,30,radio/TV,78.0,recreational,31_40,quite rich,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1158,12,radio/TV,96.0,recreational,21_30,quite rich,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,6204,18,repairs,345.0,maintenance,41_50,moderate,high,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,rent,6187,30,car,206.0,development,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,free,6143,48,car,128.0,development,51_60,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,highly skilled,own,1393,11,car,127.0,development,31_40,little,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2299,36,radio/TV,64.0,recreational,31_40,quite rich,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and non-resident,rent,1352,6,car,225.0,development,21_30,quite rich,high,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,unskilled and resident,own,7228,11,car,657.0,development,31_40,little,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,skilled,own,2073,12,radio/TV,173.0,recreational,21_30,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,2333,24,furniture/equipment,97.0,maintenance,21_30,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,5965,27,car,221.0,development,31_40,moderate,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1262,12,radio/TV,105.0,recreational,21_30,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3378,18,car,188.0,development,31_40,no data,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,free,2225,36,car,62.0,development,51_60,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,783,6,car,130.0,development,21_30,no data,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,highly skilled,own,6468,12,radio/TV,539.0,recreational,51_60,moderate,high,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,9566,36,radio/TV,266.0,recreational,31_40,little,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,highly skilled,own,1961,18,car,109.0,development,21_30,rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,rent,6229,36,furniture/equipment,173.0,maintenance,21_30,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,1391,9,business,155.0,development,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1537,15,radio/TV,102.0,recreational,51_60,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,free,1953,36,business,54.0,development,61_70,moderate,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,14421,48,business,300.0,development,21_30,moderate,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,3181,24,radio/TV,133.0,recreational,21_30,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,5190,27,repairs,192.0,maintenance,41_50,no data,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,2171,12,radio/TV,181.0,recreational,21_30,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1007,12,car,84.0,development,21_30,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,free,1819,36,education,51.0,development,31_40,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,2394,36,radio/TV,66.0,recreational,21_30,no data,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,8133,36,car,226.0,development,31_40,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,rent,730,7,radio/TV,104.0,recreational,41_50,no data,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,highly skilled,free,1164,8,vacation/others,146.0,recreational,51_60,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,5954,42,business,142.0,development,41_50,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,1977,36,education,55.0,development,41_50,little,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,free,1526,12,car,127.0,development,61_70,little,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3965,42,radio/TV,94.0,recreational,31_40,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,4771,11,radio/TV,434.0,recreational,51_60,moderate,high,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,9436,54,car,175.0,development,31_40,no data,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,3832,30,furniture/equipment,128.0,maintenance,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,5943,24,radio/TV,248.0,recreational,41_50,no data,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1213,15,radio/TV,81.0,recreational,41_50,quite rich,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,rent,1568,18,business,87.0,development,21_30,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,unskilled and resident,own,1755,24,vacation/others,73.0,recreational,51_60,little,normal,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,unskilled and resident,own,2315,10,radio/TV,232.0,recreational,51_60,little,high,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,highly skilled,own,1412,12,business,118.0,development,21_30,little,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1295,18,furniture/equipment,72.0,maintenance,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,free,12612,36,education,350.0,development,41_50,moderate,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,2249,18,car,125.0,development,31_40,moderate,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1108,12,repairs,92.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,618,12,radio/TV,52.0,recreational,51_60,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1409,12,car,117.0,development,51_60,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,own,797,12,radio/TV,66.0,recreational,31_40,no data,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,rent,3617,24,furniture/equipment,151.0,maintenance,21_30,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1318,12,car,110.0,development,51_60,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,rent,15945,54,business,295.0,development,51_60,moderate,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,2012,12,education,168.0,development,61_70,no data,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2622,18,business,146.0,development,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2337,36,radio/TV,65.0,recreational,31_40,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,rent,7057,20,car,353.0,development,31_40,moderate,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,rent,1469,24,car,61.0,development,41_50,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,rent,2323,36,radio/TV,65.0,recreational,21_30,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,932,6,radio/TV,155.0,recreational,21_30,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,rent,1919,9,furniture/equipment,213.0,maintenance,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,rent,2445,12,car,204.0,development,21_30,no data,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,11938,24,vacation/others,497.0,recreational,31_40,moderate,high,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,6458,18,car,359.0,development,31_40,little,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,6078,12,car,506.0,development,31_40,moderate,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,7721,24,furniture/equipment,322.0,maintenance,31_40,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1410,14,business,101.0,development,31_40,quite rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1449,6,business,242.0,development,31_40,moderate,high,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,392,15,education,26.0,development,21_30,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,rent,6260,18,car,348.0,development,21_30,moderate,high,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,skilled,own,7855,36,car,218.0,development,21_30,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1680,12,radio/TV,140.0,recreational,31_40,quite rich,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3578,48,radio/TV,75.0,recreational,41_50,no data,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,highly skilled,own,7174,42,radio/TV,171.0,recreational,31_40,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,2132,10,furniture/equipment,213.0,maintenance,21_30,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,4281,33,furniture/equipment,130.0,maintenance,21_30,quite rich,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,2366,12,car,197.0,development,31_40,quite rich,high,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1835,21,radio/TV,87.0,recreational,21_30,little,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,highly skilled,rent,3868,24,car,161.0,development,41_50,little,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,rent,1768,12,furniture/equipment,147.0,maintenance,21_30,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,free,781,10,car,78.0,development,61_70,rich,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,rent,1924,18,furniture/equipment,107.0,maintenance,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2121,12,car,177.0,development,31_40,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,701,12,radio/TV,58.0,recreational,41_50,little,normal,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,own,639,12,repairs,53.0,maintenance,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,1860,12,car,155.0,development,31_40,moderate,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,3499,12,car,292.0,development,21_30,little,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,8487,48,car,177.0,development,21_30,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,6887,36,education,191.0,development,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,2708,15,furniture/equipment,181.0,maintenance,21_30,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,skilled,free,1984,18,furniture/equipment,110.0,maintenance,41_50,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,10144,60,radio/TV,169.0,recreational,21_30,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,1240,12,radio/TV,103.0,recreational,31_40,no data,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,8613,27,car,319.0,development,21_30,rich,high,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,unskilled and resident,own,766,12,radio/TV,64.0,recreational,61_70,quite rich,normal,196,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2728,15,radio/TV,182.0,recreational,31_40,moderate,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,unskilled and resident,rent,1881,12,radio/TV,157.0,recreational,41_50,rich,normal,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
male,unskilled and non-resident,own,709,6,car,118.0,development,21_30,rich,normal,195,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""bad\""\n}"",""stop_reason"":""length""}]}",bad
female,highly skilled,own,4795,36,radio/TV,133.0,recreational,31_40,moderate,normal,194,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,highly skilled,own,3416,27,radio/TV,127.0,recreational,21_30,little,normal,193,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,2462,18,furniture/equipment,137.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,2288,21,furniture/equipment,109.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,3566,48,business,74.0,development,31_40,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,860,6,car,143.0,development,31_40,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
female,skilled,own,682,12,car,57.0,development,51_60,moderate,normal,191,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,5371,36,furniture/equipment,149.0,maintenance,21_30,little,normal,190,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
male,skilled,own,1582,18,radio/TV,88.0,recreational,41_50,rich,normal,192,"{""outputs"":[{""text"":"" {\n  \""loan\"": \""good\""\n}"",""stop_reason"":""length""}]}",good
